system:index,awei,date,latitude,longitude,.geo
20250103T053129_20250103T054245_T43QCA,-8464.439998901527,2025-01-03,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,-7549.441944157239,2025-01-13,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,-7830.29452479762,2025-01-18,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,-7896.622667423169,2025-01-23,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,-8640.88320395195,2025-02-02,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,-8252.454584918058,2025-02-07,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,-8953.306884389522,2025-02-12,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,-9025.881226951367,2025-02-17,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,-8921.678142020879,2025-02-22,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,-9190.987859430988,2025-02-27,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,-9261.675248533862,2025-03-04,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,-9576.342234160997,2025-03-09,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,-10171.189297994733,2025-03-14,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,-9905.302545250728,2025-03-19,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,-9882.274141309397,2025-03-24,18.65500001695405,73.70499999997936,"{""type"":""MultiPoint"",""coordinates"":[]}"
